host,target
3162137,341188
820282,820287
3687832,3687836
3687956,3687964
341290,1620667
728231,728253
727748,727806
2471466,2472647
3160702,1222413
682441,682485
4094631,1737230
3055081,3055085
726806,727107
1021019,1021076
728571,728594
728005,728012
727388,727395
727618,727639
4097104,679305
1021020,1021093
3055587,3055671
1021045,1021096
680865,680881
3718599,3718606
1222372,1222388
728348,728357
3051373,3051464
726575,726584
1222485,1222501
3052920,3052991
2833700,2833721
3052912,3052915
1392081,1392096
1222182,1222184
1222588,1222626
728480,728493
728332,728355
1222163,1222200
726559,726582
726567,726629
3055068,3055174
682463,682465
3044827,3044920
1222584,1222600
3052475,3052546
820504,820509
727367,727424
3687959,3687969
682559,682587
2341713,2341762
684385,684387
680868,680906
728484,728536
725300,725351
820135,820140
726675,726684
818449,818459
727848,727906
3160699,1222307
1222054,1222070
727368,727441
727149,727156
820422,820434
1222270,1222308
3687959,3687966
726792,726850
727524,727537
727845,727903
3996822,1021098
3055643,3055682
726667,726729
728326,728384
649513,1824648
727054,727105
727987,728045
1221853,1221858
4098117,683245
726901,726922
341307,341362
726810,726817
727754,727777
977006,1613626
3052454,3052545
1222427,1222429
3718598,3718609
727267,727325
1222584,1222627
1392073,1392115
3056458,3056542
3162880,683271
1218976,1219019
726797,726818
727745,727802
728324,728397
4000347,4001957
727531,727540
727984,728041
1222394,1222396
728341,728354
728583,728590
727154,727205
727745,727803
3687958,3687969
726814,726823
814902,1619037
3055578,3055684
1222606,1222608
649510,3306990
2472499,2472942
727623,727685
375527,1619037
727028,727086
3052462,3052542
727276,727299
727606,727663
727767,727819
814906,1613695
814925,1613688
3056470,3056543
4119640,4119641
3051394,3051465
3055600,3055678
3056449,3056555
679311,679313
2472454,2472940
3687914,3687923
341145,341150
1222054,1222097
3719041,3719049
726658,726680
3160711,1222731
727270,727328
727518,727539
2833714,2833740
682779,1613614
726915,726966
3718596,3718605
3056474,3056544
820421,820485
3056514,3056553
3051393,3051464
3044839,3044842
682441,682457
341142,341151
3687830,3687839
814927,1613687
726798,726821
682456,682461
551724,1612973
4119631,4119632
1222109,1222111
3052456,3052553
3052463,3052542
3687875,3687885
728110,728161
1221860,1221862
727762,728063
4119649,4119650
2833718,2833743
725295,725302
820280,820335
590201,1613861
4094844,1218992
681660,681676
1392088,1392123
3993132,375574
726906,726968
725296,725348
1222280,1222347
649510,1736908
727527,727534
2833695,2833738
4096995,1221964
1021040,1021047
728470,728491
3052900,3814984
3055088,3055169
3052919,3052988
820132,820142
727766,727773
1392143,1392095
2833701,2833724
3687916,3687920
1021036,1021098
3044834,3044917
820209,820215
3055599,3055672
4119643,4119644
820502,820512
1221948,1221991
1222172,1222181
727384,727446
820206,820216
341130,341190
820206,820261
728462,728520
3052455,3052547
3162872,681695
1222598,1222665
3687872,3687881
727031,727089
727628,727680
820126,820138
727632,727683
727985,728058
728245,728297
590193,1613862
728331,728353
3055089,3055162
3686286,3686295
727514,727535
727029,727102
3160705,1222519
725299,725308
727046,727059
728479,728541
1021044,1021053
3687872,3687880
726668,726681
1219031,1219033
818442,818507
1222493,1222498
3056462,3056466
679304,679309
1392074,1392123
728562,728619
820283,820289
3719018,3719026
341133,341187
728570,728591
1222076,1222078
3051383,3051460
3719067,3719077
4119628,4119629
3055077,3055161
341130,341146
728232,728255
726797,726819
3044827,3044922
1222591,1222607
728235,728256
551724,1612970
727037,727060
728010,728061
727289,727341
3051394,3051468
728109,728118
4119625,4119626
3052913,3052916
726889,726947
727267,727324
1222164,1222202
1218979,1219016
680099,680101
728588,728639
3718599,3718609
728335,728356
819984,819994
726889,726946
3051381,3051461
3160708,1222625
679289,679333
728574,728595
820208,820213
727375,727397
3687830,3687838
4097485,680881
3051397,3051463
341290,1612973
727984,728042
1392147,1392138
3056469,3056547
3055591,3055595
1339325,1738639
3719020,3719024
1222068,1222135
1222639,1222641
1222492,1222559
680880,680885
684812,684828
1221955,1221971
3719021,3719031
820061,820067
3052454,3052554
1392085,969005
3051386,3051389
727145,727207
886933,887009
2327577,2328491
3052475,3052549
341308,341363
1021028,1021051
727992,728014
341302,1612523
727506,727563
727515,727538
3052918,3052995
3052919,3052990
681675,681677
727509,727567
727385,727398
819978,819990
728223,728281
680865,680909
726676,726727
3055600,3055675
727606,727664
341137,341153
728084,728142
728323,728380
3044846,3044918
3052464,3052541
3056471,3056549
727140,727161
727771,727822
679296,679312
679289,679305
4098456,684033
3993132,3993166
728565,728623
1222386,1222453
728471,728494
2833710,2833723
818452,818458
820058,820068
1222694,1222732
819977,820041
3044846,3044920
727762,727824
820354,820409
725286,725307
728101,728163
375526,1614073
3044831,3044927
818449,818505
726898,726921
820357,820363
728323,728381
3051392,3051466
728093,728116
1222596,1222605
727285,727298
1222702,1222711
679292,679330
727863,727876
1221893,1221895
3719067,3719074
727136,727158
3162868,680907
820125,820189
682448,682464
725275,725348
726671,726678
682780,1613620
727607,727680
681656,681694
728002,728015
823875,3760556
4119646,4119647
726650,726708
820348,820360
1218983,1218999
1222269,1222306
820135,820141
1221842,1221880
728462,728519
728483,728490
814900,1613686
590213,1613860
727871,727922
1392073,1392114
1222372,1222415
3160690,1221989
3687916,3687927
1222704,1222771
726658,726679
549467,1612975
728226,728284
727153,727162
1222690,1222706
2472544,2472944
727845,727902
1222693,1222730
3719044,3719051
727532,727583
727045,727107
1021031,1021052
727507,727580
3052920,3052994
820431,820436
1222482,1222520
684029,684038
3044840,3044843
549467,1612979
684805,684821
819984,820039
726551,726624
3051387,3051390
2472364,2472936
3044850,3044919
4097802,1222388
728465,728523
727288,727295
3052899,3052990
3052918,3052992
728331,728352
681653,681697
1222266,1222309
820431,820437
814935,1613685
3044847,3044921
1222066,1222075
682793,1613615
1218980,1219018
3052467,3052470
1337195,3307395
563957,1612972
680080,680118
679657,679659
727370,727428
728487,728496
861237,862254
1221845,1221861
680877,680886
682556,1612839
682772,1613618
1222167,1222183
3686289,3686299
683236,683252
3686288,3686299
820200,820212
726550,726608
682780,1613617
3055082,3055086
3719041,3719050
1222288,1222290
680089,680098
3055599,3055674
3719064,3719073
3051382,3051461
3719066,3719077
727375,727396
1218991,1218996
2833709,2833744
3993441,3993476
728106,728158
727053,727062
820060,820065
4095026,1221854
2833704,2833725
1222175,1222180
820280,820290
727036,727057
3055078,3055160
727615,727638
3055090,3055165
2472229,2472930
685173,685175
726806,726868
3718598,3718602
3993178,4000643
3056469,3056550
1222697,1222713
684039,684041
818452,818457
1221850,1221859
727284,727346
728340,728402
728562,728620
1222375,1222412
680084,680100
2472274,2472932
1222587,1222624
3162888,684847
728084,728141
3719018,3719027
820430,820435
1392085,1392127
4097875,682457
727150,727202
684024,684040
1222599,1222604
3044826,3044929
726789,726847
727131,727189
375527,375573
726568,726581
727992,728013
3718596,3718604
682772,1613621
728241,728254
727846,727919
727376,727399
727049,727056
814915,814921
819987,819993
3687914,3687922
727379,727400
680077,680093
727631,727640
2833692,2833735
3044826,3044920
1222481,1222518
728092,728113
727870,727879
727393,727444
1021019,1021077
727614,727635
3052468,3052471
726562,726583
727128,727185
727050,727102
2472319,2472934
726911,726963
3162860,679331
4098678,1222706
820061,820066
3719020,3719031
726897,726919
814900,1619038
551832,1612978
814914,814920
727753,727775
4097451,1222176
332820,2341762
1222490,1222499
727866,727873
1222069,1222074
727292,727301
728087,728145
1222174,1222241
726558,726579
1221963,1221968
3056471,3056546
728570,728592
820052,820064
820495,820559
3687874,3687878
820058,820113
3993138,375574
728009,728018
728463,728536
820051,820115
1218998,1219000
3162884,684059
728474,728495
1221951,1221988
3995014,4000369
726553,726611
680092,680097
727275,727296
727367,727425
341292,1620666
1221952,1221990
1392091,1392097
726807,726820
727279,727300
3719021,3719028
3056459,3056541
551832,1612974
3055603,3055673
1339288,1340333
4098638,684821
1221838,1221854
820356,820361
3055580,3055683
814926,1613684
727770,727779
3687875,3687882
681668,681673
727392,727401
728001,728063
3719044,3719054
341291,3846561
725277,725335
341303,1612523
3051374,3051466
3160696,1222201
3731891,3731892
1222266,1222282
3052907,3052987
3993133,375573
727854,727877
728587,728596
728584,728636
1392092,1392126
727763,727776
3687874,3687885
727753,727774
3055133,3055172
3056470,3056545
1222058,1222096
814902,1620666
682453,682462
3996862,4000670
4097608,1222282
726914,726923
684017,684061
725274,725331
727389,727441
3056450,3814990
1392083,1392096
728001,728302
726815,726866
726907,726920
820428,820483
1222215,1222217
680887,680889
725282,725304
683229,683245
725292,725305
861237,862159
727996,728017
728096,728117
341152,341154
726897,726918
728470,728492
814911,1612854
1222057,1222094
3052901,3052998
3056463,3056467
727293,727344
1222533,1222535
3052459,3052552
4119634,4119635
1222690,1222733
727045,727346
728223,728280
727136,727157
3719064,3719072
820273,820337
726550,726607
1222281,1222286
820283,820288
3052923,3052989
682544,1621090
727853,727875
3687956,3687965
3051374,3814981
607437,607822
684020,684058
726662,726683
3052474,3052543
819987,819992
726801,726822
727867,727919
727862,727924
728349,728400
3052908,3052987
1021022,1021080
725274,725332
727137,727160
727853,727874
3055598,3055676
3162876,682483
726811,726863
727275,727297
820134,820139
1219031,1221895
3055592,3055596
1218990,1219057
649519,1268049
814901,1613688
726890,726963
728488,728539
683597,683599
726558,726580
726653,726711
590201,2792148
820505,820511
1222387,1222392
3055093,3055163
1221841,1221878
728102,728115
3055090,3055168
680872,680888
684805,684849
681233,681235
728344,728351
3052900,3052992
1222061,1222077
2833713,2833720
3687917,3687924
375525,969005
820357,820362
1222273,1222289
725291,725353
649514,2100783
727040,727061
727129,727202
728579,728641
682560,682588
1021027,1021048
680445,680447
728563,728636
375525,375574
1222478,1222494
820505,820510
819986,819991
3686289,3686296
2833717,2833726
684827,684829
727028,727085
820199,820263
1221962,1222029
682809,682811
727746,727819
727857,727878
3055088,3055166
1339325,1340500
728006,728058
726659,726682
682546,1621089
726572,726624
3044845,3044922
820347,820411
1222500,1222502
683251,683253
3052473,3052550
3687833,3687840
728248,728257
2472409,2472938
684820,684825
726789,726846
3719066,3719070
726650,726707
727624,727637
1221970,1221972
684808,684846
3051393,3051462
341291,1612973
727514,727536
728240,728541
3055588,3055670
820421,820559
726892,726950
1222379,1222395
1222712,1222714
4119637,4119638
728085,728158
1221960,1221969
683229,683273
3051373,3051473
684017,684033
725282,725303
814901,1613686
3687833,3687843
1218988,1218997
814926,1613686
820354,820364
3052909,3052986
727609,727667
814927,1613690
728249,728300
1222321,1222323
684817,684826
726672,726724
3052474,3052545
1222384,1222393
3044845,3044925
3052478,3052544
681653,681669
3044828,3044928
727528,727580
3719043,3719054
1222705,1222710
3686288,3686292
1221852,1221919
1218976,1218992
3055089,3055164
728240,728302
1021041,1021093
728345,728397
728092,728114
682021,682023
683232,683270
375526,375574
3687917,3687927
3051374,3051464
820274,820286
856413,860000
3052900,3052990
728244,728251
683244,683249
820209,820214
727627,727634
728231,728252
726571,726578
3687958,3687962
4097232,1222070
1222478,1222521
1222278,1222287
3160693,1222095
726910,726917
727036,727058
727268,727341
649517,1030438
818451,818456
3052473,3052547
3051375,3051472
726576,726627
682555,1612840
1222160,1222176
726651,726724
968883,969005
2833693,2833740
1222745,1222747
3687832,3687843
4098350,1222600
1222160,1222203
680077,680121
3051392,3051469
3055069,3814987
1392087,1392094
679301,679310
341304,1612522
3055583,3055681
684032,684037
3162864,680119
1021037,1021050
682551,1613625
728224,728297
332820,607822
2833692,2833734
682779,1613616
3160123,1219017
3719043,3719047
820496,820508
3044836,3044916
727993,728016
726790,726863
3052455,3052545
3044835,3044917
4097980,1222494
1021027,1021049
3686286,3686294
4097376,680093
727128,727186
3044847,3044924
4097699,681669
972270,1613890
820428,820438
820132,820187
820502,820557
375045,1823261
727506,727564
814910,1612855
725283,725306
3055598,3055679
4095104,341146
814925,1613691
341291,1612975
727757,727778
590200,1613861
727146,727159
3160687,1221879
727523,727585
818443,818455
683241,683250
3052899,3052999
727614,727636
2833700,2833722
728580,728593
1222003,1222005
728105,728112
814909,1612855
682444,682482
681665,681674
1221948,1221964
1221838,1221881
3056451,3056554
3055070,3055173
1222376,1222414
